freq,unit_nrg_bal,geo,TIME_PERIOD,OBS_VALUE_nrg_bal,LAST UPDATE_nrg_bal,OBS_VALUE_nrg_ind_ren,LAST UPDATE_nrg_ind_ren,unit_nrg_ind_ren,nrg_bal_category,nuts_code
Annual,Terajoule,Albania,2014,84298.912,16/12/24 23:00:00,31.856,19/09/24 23:00:00,Percentage,Renewable energy - overall,AL
Annual,Terajoule,Albania,2015,86809.087,16/12/24 23:00:00,34.913,19/09/24 23:00:00,Percentage,Renewable energy - overall,AL
Annual,Terajoule,Albania,2016,82097.177,16/12/24 23:00:00,36.953,19/09/24 23:00:00,Percentage,Renewable energy - overall,AL
Annual,Terajoule,Albania,2017,68760.94,16/12/24 23:00:00,35.776,19/09/24 23:00:00,Percentage,Renewable energy - overall,AL
Annual,Terajoule,Albania,2018,84362.724,16/12/24 23:00:00,36.572,19/09/24 23:00:00,Percentage,Renewable energy - overall,AL
Annual,Terajoule,Albania,2019,72698.401,16/12/24 23:00:00,38.042,19/09/24 23:00:00,Percentage,Renewable energy - overall,AL
Annual,Terajoule,Albania,2020,62555.119,16/12/24 23:00:00,45.015,19/09/24 23:00:00,Percentage,Renewable energy - overall,AL
Annual,Terajoule,Albania,2021,76319.215,16/12/24 23:00:00,41.389,19/09/24 23:00:00,Percentage,Renewable energy - overall,AL
Annual,Terajoule,Albania,2022,67290.649,16/12/24 23:00:00,44.076,19/09/24 23:00:00,Percentage,Renewable energy - overall,AL
Annual,Terajoule,Albania,2023,75341.37,16/12/24 23:00:00,46.62,19/09/24 23:00:00,Percentage,Renewable energy - overall,AL
Annual,Terajoule,Austria,2014,515685.725,16/12/24 23:00:00,33.55,19/09/24 23:00:00,Percentage,Renewable energy - overall,AT
Annual,Terajoule,Austria,2015,511964.825,16/12/24 23:00:00,33.497,19/09/24 23:00:00,Percentage,Renewable energy - overall,AT
Annual,Terajoule,Austria,2016,526039.778,16/12/24 23:00:00,33.37,19/09/24 23:00:00,Percentage,Renewable energy - overall,AT
Annual,Terajoule,Austria,2017,529021.976,16/12/24 23:00:00,33.136,19/09/24 23:00:00,Percentage,Renewable energy - overall,AT
Annual,Terajoule,Austria,2018,503658.154,16/12/24 23:00:00,33.784,19/09/24 23:00:00,Percentage,Renewable energy - overall,AT
Annual,Terajoule,Austria,2019,519842.565,16/12/24 23:00:00,33.755,19/09/24 23:00:00,Percentage,Renewable energy - overall,AT
Annual,Terajoule,Austria,2020,519614.774,16/12/24 23:00:00,36.545,19/09/24 23:00:00,Percentage,Renewable energy - overall,AT
Annual,Terajoule,Austria,2021,530657.584,16/12/24 23:00:00,34.792,19/09/24 23:00:00,Percentage,Renewable energy - overall,AT
Annual,Terajoule,Austria,2022,511834.168,16/12/24 23:00:00,34.075,19/09/24 23:00:00,Percentage,Renewable energy - overall,AT
Annual,Terajoule,Austria,2023,542991.112,16/12/24 23:00:00,40.844,19/09/24 23:00:00,Percentage,Renewable energy - overall,AT
Annual,Terajoule,Belgium,2014,506519.91,16/12/24 23:00:00,8.038,19/09/24 23:00:00,Percentage,Renewable energy - overall,BE
Annual,Terajoule,Belgium,2015,429207.601,16/12/24 23:00:00,8.06,19/09/24 23:00:00,Percentage,Renewable energy - overall,BE
Annual,Terajoule,Belgium,2016,613991.805,16/12/24 23:00:00,8.744,19/09/24 23:00:00,Percentage,Renewable energy - overall,BE
Annual,Terajoule,Belgium,2017,606613.013,16/12/24 23:00:00,9.136,19/09/24 23:00:00,Percentage,Renewable energy - overall,BE
Annual,Terajoule,Belgium,2018,471754.623,16/12/24 23:00:00,9.472,19/09/24 23:00:00,Percentage,Renewable energy - overall,BE
Annual,Terajoule,Belgium,2019,633883.469,16/12/24 23:00:00,9.929,19/09/24 23:00:00,Percentage,Renewable energy - overall,BE
Annual,Terajoule,Belgium,2020,555868.059,16/12/24 23:00:00,13.0,19/09/24 23:00:00,Percentage,Renewable energy - overall,BE
Annual,Terajoule,Belgium,2021,725491.942,16/12/24 23:00:00,13.076,19/09/24 23:00:00,Percentage,Renewable energy - overall,BE
Annual,Terajoule,Belgium,2022,663070.56,16/12/24 23:00:00,13.816,19/09/24 23:00:00,Percentage,Renewable energy - overall,BE
Annual,Terajoule,Belgium,2023,567520.077,16/12/24 23:00:00,14.741,19/09/24 23:00:00,Percentage,Renewable energy - overall,BE
Annual,Terajoule,Bosnia and Herzegovina,2014,180268.644,16/12/24 23:00:00,24.873,19/09/24 23:00:00,Percentage,Renewable energy - overall,BA
Annual,Terajoule,Bosnia and Herzegovina,2015,182852.878,16/12/24 23:00:00,26.607,19/09/24 23:00:00,Percentage,Renewable energy - overall,BA
Annual,Terajoule,Bosnia and Herzegovina,2016,198517.717,16/12/24 23:00:00,25.358,19/09/24 23:00:00,Percentage,Renewable energy - overall,BA
Annual,Terajoule,Bosnia and Herzegovina,2017,193598.508,16/12/24 23:00:00,23.241,19/09/24 23:00:00,Percentage,Renewable energy - overall,BA
Annual,Terajoule,Bosnia and Herzegovina,2018,237484.269,16/12/24 23:00:00,35.972,19/09/24 23:00:00,Percentage,Renewable energy - overall,BA
Annual,Terajoule,Bosnia and Herzegovina,2019,226292.323,16/12/24 23:00:00,37.454,19/09/24 23:00:00,Percentage,Renewable energy - overall,BA
Annual,Terajoule,Bosnia and Herzegovina,2020,219271.784,16/12/24 23:00:00,39.835,19/09/24 23:00:00,Percentage,Renewable energy - overall,BA
Annual,Terajoule,Bosnia and Herzegovina,2021,218680.233,16/12/24 23:00:00,36.562,19/09/24 23:00:00,Percentage,Renewable energy - overall,BA
Annual,Terajoule,Bosnia and Herzegovina,2022,222435.691,16/12/24 23:00:00,39.294,19/09/24 23:00:00,Percentage,Renewable energy - overall,BA
Annual,Terajoule,Bosnia and Herzegovina,2023,220993.287,16/12/24 23:00:00,40.011,19/09/24 23:00:00,Percentage,Renewable energy - overall,BA
Annual,Terajoule,Bulgaria,2014,473425.661,16/12/24 23:00:00,18.05,19/09/24 23:00:00,Percentage,Renewable energy - overall,BG
Annual,Terajoule,Bulgaria,2015,503769.991,16/12/24 23:00:00,18.261,19/09/24 23:00:00,Percentage,Renewable energy - overall,BG
Annual,Terajoule,Bulgaria,2016,471976.703,16/12/24 23:00:00,18.76,19/09/24 23:00:00,Percentage,Renewable energy - overall,BG
Annual,Terajoule,Bulgaria,2017,491010.039,16/12/24 23:00:00,18.695,19/09/24 23:00:00,Percentage,Renewable energy - overall,BG
Annual,Terajoule,Bulgaria,2018,500631.399,16/12/24 23:00:00,20.581,19/09/24 23:00:00,Percentage,Renewable energy - overall,BG
Annual,Terajoule,Bulgaria,2019,489470.372,16/12/24 23:00:00,21.545,19/09/24 23:00:00,Percentage,Renewable energy - overall,BG
Annual,Terajoule,Bulgaria,2020,453470.461,16/12/24 23:00:00,23.319,19/09/24 23:00:00,Percentage,Renewable energy - overall,BG
Annual,Terajoule,Bulgaria,2021,508148.781,16/12/24 23:00:00,19.445,19/09/24 23:00:00,Percentage,Renewable energy - overall,BG
Annual,Terajoule,Bulgaria,2022,550715.647,16/12/24 23:00:00,19.044,19/09/24 23:00:00,Percentage,Renewable energy - overall,BG
Annual,Terajoule,Bulgaria,2023,438933.939,16/12/24 23:00:00,22.549,19/09/24 23:00:00,Percentage,Renewable energy - overall,BG
Annual,Terajoule,Croatia,2014,182830.508,16/12/24 23:00:00,27.817,19/09/24 23:00:00,Percentage,Renewable energy - overall,HR
Annual,Terajoule,Croatia,2015,184821.679,16/12/24 23:00:00,28.969,19/09/24 23:00:00,Percentage,Renewable energy - overall,HR
Annual,Terajoule,Croatia,2016,185858.928,16/12/24 23:00:00,28.266,19/09/24 23:00:00,Percentage,Renewable energy - overall,HR
Annual,Terajoule,Croatia,2017,176875.639,16/12/24 23:00:00,27.28,19/09/24 23:00:00,Percentage,Renewable energy - overall,HR
Annual,Terajoule,Croatia,2018,175647.152,16/12/24 23:00:00,28.047,19/09/24 23:00:00,Percentage,Renewable energy - overall,HR
Annual,Terajoule,Croatia,2019,163298.449,16/12/24 23:00:00,28.466,19/09/24 23:00:00,Percentage,Renewable energy - overall,HR
Annual,Terajoule,Croatia,2020,156268.114,16/12/24 23:00:00,31.023,19/09/24 23:00:00,Percentage,Renewable energy - overall,HR
Annual,Terajoule,Croatia,2021,165593.281,16/12/24 23:00:00,31.285,19/09/24 23:00:00,Percentage,Renewable energy - overall,HR
Annual,Terajoule,Croatia,2022,155024.924,16/12/24 23:00:00,28.088,19/09/24 23:00:00,Percentage,Renewable energy - overall,HR
Annual,Terajoule,Croatia,2023,159794.986,16/12/24 23:00:00,28.051,19/09/24 23:00:00,Percentage,Renewable energy - overall,HR
Annual,Terajoule,Cyprus,2014,5114.184,16/12/24 23:00:00,9.144,19/09/24 23:00:00,Percentage,Renewable energy - overall,CY
Annual,Terajoule,Cyprus,2015,5483.334,16/12/24 23:00:00,9.903,19/09/24 23:00:00,Percentage,Renewable energy - overall,CY
Annual,Terajoule,Cyprus,2016,5797.442,16/12/24 23:00:00,9.833,19/09/24 23:00:00,Percentage,Renewable energy - overall,CY
Annual,Terajoule,Cyprus,2017,6058.384,16/12/24 23:00:00,10.478,19/09/24 23:00:00,Percentage,Renewable energy - overall,CY
Annual,Terajoule,Cyprus,2018,8235.856,16/12/24 23:00:00,13.873,19/09/24 23:00:00,Percentage,Renewable energy - overall,CY
Annual,Terajoule,Cyprus,2019,8724.315,16/12/24 23:00:00,13.777,19/09/24 23:00:00,Percentage,Renewable energy - overall,CY
Annual,Terajoule,Cyprus,2020,9021.132,16/12/24 23:00:00,16.879,19/09/24 23:00:00,Percentage,Renewable energy - overall,CY
Annual,Terajoule,Cyprus,2021,9954.845,16/12/24 23:00:00,19.069,19/09/24 23:00:00,Percentage,Renewable energy - overall,CY
Annual,Terajoule,Cyprus,2022,10762.702,16/12/24 23:00:00,19.427,19/09/24 23:00:00,Percentage,Renewable energy - overall,CY
Annual,Terajoule,Cyprus,2023,11236.227,16/12/24 23:00:00,20.213,19/09/24 23:00:00,Percentage,Renewable energy - overall,CY
Annual,Terajoule,Czechia,2014,1235039.687,16/12/24 23:00:00,15.074,19/09/24 23:00:00,Percentage,Renewable energy - overall,CZ
Annual,Terajoule,Czechia,2015,1195441.852,16/12/24 23:00:00,15.07,19/09/24 23:00:00,Percentage,Renewable energy - overall,CZ
Annual,Terajoule,Czechia,2016,1131778.532,16/12/24 23:00:00,14.926,19/09/24 23:00:00,Percentage,Renewable energy - overall,CZ
Annual,Terajoule,Czechia,2017,1145557.147,16/12/24 23:00:00,14.799,19/09/24 23:00:00,Percentage,Renewable energy - overall,CZ
Annual,Terajoule,Czechia,2018,1144788.49,16/12/24 23:00:00,15.139,19/09/24 23:00:00,Percentage,Renewable energy - overall,CZ
Annual,Terajoule,Czechia,2019,1113585.189,16/12/24 23:00:00,16.239,19/09/24 23:00:00,Percentage,Renewable energy - overall,CZ
Annual,Terajoule,Czechia,2020,983924.913,16/12/24 23:00:00,17.303,19/09/24 23:00:00,Percentage,Renewable energy - overall,CZ
Annual,Terajoule,Czechia,2021,1020212.94,16/12/24 23:00:00,17.614,19/09/24 23:00:00,Percentage,Renewable energy - overall,CZ
Annual,Terajoule,Czechia,2022,1058426.49,16/12/24 23:00:00,18.123,19/09/24 23:00:00,Percentage,Renewable energy - overall,CZ
Annual,Terajoule,Czechia,2023,969956.787,16/12/24 23:00:00,18.586,19/09/24 23:00:00,Percentage,Renewable energy - overall,CZ
Annual,Terajoule,Denmark,2014,679187.918,16/12/24 23:00:00,29.31,19/09/24 23:00:00,Percentage,Renewable energy - overall,DK
Annual,Terajoule,Denmark,2015,676447.707,16/12/24 23:00:00,30.469,19/09/24 23:00:00,Percentage,Renewable energy - overall,DK
Annual,Terajoule,Denmark,2016,639995.504,16/12/24 23:00:00,31.715,19/09/24 23:00:00,Percentage,Renewable energy - overall,DK
Annual,Terajoule,Denmark,2017,654546.771,16/12/24 23:00:00,34.387,19/09/24 23:00:00,Percentage,Renewable energy - overall,DK
Annual,Terajoule,Denmark,2018,581036.884,16/12/24 23:00:00,35.159,19/09/24 23:00:00,Percentage,Renewable energy - overall,DK
Annual,Terajoule,Denmark,2019,522703.692,16/12/24 23:00:00,37.02,19/09/24 23:00:00,Percentage,Renewable energy - overall,DK
Annual,Terajoule,Denmark,2020,398415.982,16/12/24 23:00:00,31.681,19/09/24 23:00:00,Percentage,Renewable energy - overall,DK
Annual,Terajoule,Denmark,2021,399600.067,16/12/24 23:00:00,41.813,19/09/24 23:00:00,Percentage,Renewable energy - overall,DK
Annual,Terajoule,Denmark,2022,417563.811,16/12/24 23:00:00,42.383,19/09/24 23:00:00,Percentage,Renewable energy - overall,DK
Annual,Terajoule,Denmark,2023,412656.666,16/12/24 23:00:00,44.396,19/09/24 23:00:00,Percentage,Renewable energy - overall,DK
Annual,Terajoule,Estonia,2014,223310.402,16/12/24 23:00:00,26.13,19/09/24 23:00:00,Percentage,Renewable energy - overall,EE
Annual,Terajoule,Estonia,2015,204724.176,16/12/24 23:00:00,28.987,19/09/24 23:00:00,Percentage,Renewable energy - overall,EE
Annual,Terajoule,Estonia,2016,220822.467,16/12/24 23:00:00,29.232,19/09/24 23:00:00,Percentage,Renewable energy - overall,EE
Annual,Terajoule,Estonia,2017,248354.572,16/12/24 23:00:00,29.538,19/09/24 23:00:00,Percentage,Renewable energy - overall,EE
Annual,Terajoule,Estonia,2018,250670.84,16/12/24 23:00:00,29.97,19/09/24 23:00:00,Percentage,Renewable energy - overall,EE
Annual,Terajoule,Estonia,2019,213044.653,16/12/24 23:00:00,31.73,19/09/24 23:00:00,Percentage,Renewable energy - overall,EE
Annual,Terajoule,Estonia,2020,183952.07,16/12/24 23:00:00,30.069,19/09/24 23:00:00,Percentage,Renewable energy - overall,EE
Annual,Terajoule,Estonia,2021,184532.15,16/12/24 23:00:00,37.342,19/09/24 23:00:00,Percentage,Renewable energy - overall,EE
Annual,Terajoule,Estonia,2022,196451.398,16/12/24 23:00:00,38.542,19/09/24 23:00:00,Percentage,Renewable energy - overall,EE
Annual,Terajoule,Estonia,2023,192615.824,16/12/24 23:00:00,40.95,19/09/24 23:00:00,Percentage,Renewable energy - overall,EE
Annual,Terajoule,European Union - 27 countries (from 2020),2014,28204146.408,16/12/24 23:00:00,17.416,19/09/24 23:00:00,Percentage,Renewable energy - overall,
Annual,Terajoule,European Union - 27 countries (from 2020),2015,27551738.011,16/12/24 23:00:00,17.82,19/09/24 23:00:00,Percentage,Renewable energy - overall,
Annual,Terajoule,European Union - 27 countries (from 2020),2016,26897791.056,16/12/24 23:00:00,17.978,19/09/24 23:00:00,Percentage,Renewable energy - overall,
Annual,Terajoule,European Union - 27 countries (from 2020),2017,26832960.955,16/12/24 23:00:00,18.411,19/09/24 23:00:00,Percentage,Renewable energy - overall,
Annual,Terajoule,European Union - 27 countries (from 2020),2018,26687323.63,16/12/24 23:00:00,19.096,19/09/24 23:00:00,Percentage,Renewable energy - overall,
Annual,Terajoule,European Union - 27 countries (from 2020),2019,25878447.36,16/12/24 23:00:00,19.887,19/09/24 23:00:00,Percentage,Renewable energy - overall,
Annual,Terajoule,European Union - 27 countries (from 2020),2020,23996367.569,16/12/24 23:00:00,22.038,19/09/24 23:00:00,Percentage,Renewable energy - overall,
Annual,Terajoule,European Union - 27 countries (from 2020),2021,25044157.614,16/12/24 23:00:00,21.894,19/09/24 23:00:00,Percentage,Renewable energy - overall,
Annual,Terajoule,European Union - 27 countries (from 2020),2022,23570775.308,16/12/24 23:00:00,23.058,19/09/24 23:00:00,Percentage,Renewable energy - overall,
Annual,Terajoule,European Union - 27 countries (from 2020),2023,23160680.729,16/12/24 23:00:00,24.555,19/09/24 23:00:00,Percentage,Renewable energy - overall,
Annual,Terajoule,Finland,2014,746109.318,16/12/24 23:00:00,38.633,19/09/24 23:00:00,Percentage,Renewable energy - overall,FI
Annual,Terajoule,Finland,2015,721307.882,16/12/24 23:00:00,39.23,19/09/24 23:00:00,Percentage,Renewable energy - overall,FI
Annual,Terajoule,Finland,2016,724168.611,16/12/24 23:00:00,38.943,19/09/24 23:00:00,Percentage,Renewable energy - overall,FI
Annual,Terajoule,Finland,2017,764517.569,16/12/24 23:00:00,40.857,19/09/24 23:00:00,Percentage,Renewable energy - overall,FI
Annual,Terajoule,Finland,2018,818337.242,16/12/24 23:00:00,41.185,19/09/24 23:00:00,Percentage,Renewable energy - overall,FI
Annual,Terajoule,Finland,2019,795144.635,16/12/24 23:00:00,42.807,19/09/24 23:00:00,Percentage,Renewable energy - overall,FI
Annual,Terajoule,Finland,2020,757521.599,16/12/24 23:00:00,43.939,19/09/24 23:00:00,Percentage,Renewable energy - overall,FI
Annual,Terajoule,Finland,2021,816919.905,16/12/24 23:00:00,42.819,19/09/24 23:00:00,Percentage,Renewable energy - overall,FI
Annual,Terajoule,Finland,2022,820288.428,16/12/24 23:00:00,47.74,19/09/24 23:00:00,Percentage,Renewable energy - overall,FI
Annual,Terajoule,Finland,2023,915160.691,16/12/24 23:00:00,50.75,19/09/24 23:00:00,Percentage,Renewable energy - overall,FI
Annual,Terajoule,France,2014,5852799.512,16/12/24 23:00:00,14.362,19/09/24 23:00:00,Percentage,Renewable energy - overall,FR
Annual,Terajoule,France,2015,5907079.901,16/12/24 23:00:00,14.803,19/09/24 23:00:00,Percentage,Renewable energy - overall,FR
Annual,Terajoule,France,2016,5601875.539,16/12/24 23:00:00,15.451,19/09/24 23:00:00,Percentage,Renewable energy - overall,FR
Annual,Terajoule,France,2017,5516864.34,16/12/24 23:00:00,15.847,19/09/24 23:00:00,Percentage,Renewable energy - overall,FR
Annual,Terajoule,France,2018,5768472.533,16/12/24 23:00:00,16.384,19/09/24 23:00:00,Percentage,Renewable energy - overall,FR
Annual,Terajoule,France,2019,5632858.165,16/12/24 23:00:00,17.174,19/09/24 23:00:00,Percentage,Renewable energy - overall,FR
